group,subjects,n_subjects,n_slices,mean_dice,median_dice,worst_dice,best_dice,mean_precision,mean_recall,mean_mask_area,mean_box_area
easy_subjects,"sub-001, sub-002, sub-003, sub-004, sub-005",5,60,0.9652280045143182,0.9684986525997452,0.934991237586581,0.9801267458315388,0.9842108162337181,0.9475288463718725,11136.1,16543.566666666666
hard_subjects,"sub-050, sub-066, sub-086, sub-109, sub-112",5,276,0.8682455376121114,0.9531455856853344,0.0,0.9889343641048962,0.8564664758405969,0.9279630849895197,4555.20652173913,8453.72463768116
