metric,mean,std,median,min,max,n
dice,0.9111003206630026,0.14696969329782916,0.962088130210401,0.0,0.9908962486265892,4563
iou,0.8604007308937559,0.1780501196101656,0.9269458787531076,0.0,0.9819567584383263,4563
precision,0.9064944288279677,0.18927975852654078,0.9913860610806577,0.0,1.0,4563
recall,0.943341090636945,0.054167796153487546,0.9526114135914499,0.0,1.0,4563
hausdorff_px,9.283075314163899,6.618283555841843,7.211102550927978,1.0,43.04648650006177,4563
