subject_id,n_slices,mean_dice,median_dice,std_dice,min_dice,max_dice
sub-112,59,0.8644877549716367,0.9394678492239468,0.21483529766605974,0.02779064381658175,0.9877408056042032
sub-109,56,0.8649339824039448,0.9505172859223072,0.2101633778472501,0.148479427549195,0.9889343641048962
sub-066,54,0.8702452481190291,0.9596852999731418,0.22939433613993115,0.03700189753320683,0.9832255809889918
sub-050,52,0.8704089827841652,0.9540562223084375,0.20442789254185728,0.08163265306122448,0.9789358091244884
sub-086,55,0.8716395876325658,0.9522668264429798,0.22298792531637898,0.0,0.9774178476872761
sub-106,60,0.8744318244585201,0.9658140447381867,0.21207454539959208,0.020674157303370785,0.9892506380017013
sub-046,52,0.8775108014386586,0.9557736168477107,0.20713547494298226,0.07692307692307693,0.9833887043189369
sub-047,55,0.8791799833434818,0.9624585297712589,0.1946381312161911,0.2073170731707317,0.9864935976144537
sub-091,52,0.8802582433146516,0.9584916126156657,0.20320984143610066,0.10641627543035993,0.976545842217484
sub-053,58,0.8813463941885056,0.9591209500111451,0.1819877077261015,0.2871287128712871,0.9867968891300416
sub-076,53,0.881466230910137,0.9645764576457646,0.20127068165283066,0.07739938080495357,0.9838646815807935
sub-045,53,0.8822034931470808,0.9483594074484286,0.17774789148676695,0.14149772445179976,0.9814962513957569
sub-119,60,0.8827020627153495,0.9543040052582122,0.19901942715136076,0.006829823562891292,0.9846397923126848
sub-059,56,0.8828216870906135,0.9659829443902705,0.1943226641643294,0.11294765840220386,0.9863266504487879
sub-082,56,0.8830155293615307,0.9620601920357765,0.20372828796356496,0.10041573393028462,0.9857033265918126
sub-060,54,0.8835879086595368,0.9673708560603693,0.2107126131899121,0.09811320754716982,0.9881121362668559
sub-058,52,0.8842079794433518,0.9484622015902466,0.1819351793322178,0.18421052631578946,0.9762357414448669
sub-044,52,0.884524440901871,0.9512525182536548,0.18990267652263654,0.11428571428571428,0.9801539084649655
sub-048,57,0.8869818258395167,0.9656066367092984,0.18525282009829752,0.17063313875168387,0.9830557151062608
sub-077,54,0.8880937213773663,0.9641144688953397,0.1848334638314334,0.1577368195456494,0.9868343195266273
sub-111,57,0.8898681026397112,0.936838075794309,0.1445376575229973,0.29213483146067415,0.9841780638240816
sub-113,55,0.8904046083908953,0.9575172674803671,0.16913401502362618,0.11275026343519494,0.983779705771407
sub-116,61,0.8910513760487728,0.9556962025316456,0.14727681326860284,0.19949748743718593,0.978470130060989
sub-114,59,0.8915411137507395,0.954309358218153,0.16071871161647394,0.24327158336246069,0.9790241335237952
sub-065,54,0.8920415946782334,0.9691701667689365,0.18724182719434102,0.0901077375122429,0.9840478564307079
sub-095,52,0.8921926691320975,0.9625041119824729,0.19711696528328138,0.0957297043641483,0.9855403348554034
sub-064,53,0.8927946775582145,0.9520858524788391,0.16924763592574166,0.175,0.9783516163479273
sub-087,52,0.8937419703643728,0.9586521763171403,0.19197488525840337,0.025350837483023993,0.983231933521294
sub-052,51,0.8938815282697996,0.9547325102880658,0.17222257894010395,0.2098377812663527,0.9803921568627451
sub-051,52,0.8943005643956687,0.9609774668573299,0.17204183752190053,0.13488066564484344,0.9797101449275363
sub-056,53,0.8952425220953244,0.9584503088152723,0.172593642708232,0.13991769547325103,0.9841359373898328
sub-049,51,0.8970355541195106,0.9501131733816206,0.15638282868694683,0.2653919694072658,0.973495130129331
sub-062,54,0.89749426875338,0.961965051106798,0.16731313041264784,0.07407407407407407,0.9855337078651686
sub-089,52,0.8976448770349331,0.9554262104441251,0.15067873565642623,0.23646723646723647,0.9800935839479736
sub-110,54,0.8987530140447636,0.9373885835718222,0.11871094607172647,0.3984940631335071,0.98233158531666
sub-084,51,0.8998627449060587,0.9577573707104882,0.1721814146619884,0.044444444444444446,0.9816888888888889
sub-094,51,0.8999060653220944,0.9623977344241661,0.1638927329850079,0.16960537363560033,0.9821831869510665
sub-107,62,0.9007383183102503,0.9599689090295804,0.1396505103441893,0.15384615384615385,0.984242594019189
sub-081,54,0.901125825099152,0.9601861049867053,0.15383540951367022,0.2410958904109589,0.9827951521315366
sub-070,50,0.9022523539212043,0.9582793698363317,0.1742421347710101,0.10363247863247864,0.983579469172777
sub-061,58,0.9028473283733752,0.9586077978943981,0.1414264297082527,0.29457364341085274,0.9822327044025158
sub-096,52,0.906157715189949,0.9565415084580453,0.14172683144006484,0.21926910299003322,0.9832211393549684
sub-073,57,0.9068578766290863,0.963110667996012,0.124075333296851,0.5036075036075036,0.9861412589747871
sub-108,61,0.9081676235491339,0.9494763190830644,0.14429382845997585,0.047619047619047616,0.9843505477308294
sub-088,52,0.9083072225055546,0.9583888112367958,0.1420547736265863,0.24197247706422018,0.983652312599681
sub-083,56,0.9089463668035294,0.9625079488230832,0.14429594651136465,0.24489795918367346,0.985202492211838
sub-078,54,0.9093127855650608,0.9582570046960456,0.13918089299093,0.18085106382978725,0.9835139673332316
sub-090,51,0.9101212645051489,0.9650892164468581,0.14096126355576913,0.38486997635933806,0.9817911557041992
sub-079,57,0.9116602108451624,0.9617067833698031,0.11545437125417726,0.4918032786885246,0.9867088152884547
sub-120,60,0.9132005294062123,0.961010342244178,0.13113447530788805,0.4259844782983616,0.9818650883982093
sub-069,56,0.9132239478454357,0.9504141415390148,0.08927218150674822,0.6639004149377593,0.9836424711552505
sub-115,60,0.913747830692039,0.9632333062989997,0.14490655456638318,0.18181818181818182,0.9855499438832772
sub-055,57,0.9143934910292751,0.961565502695102,0.13100184861692504,0.16783216783216784,0.9883766901241401
sub-072,54,0.9152283703472539,0.9651917753678143,0.14427877772191447,0.29417571569595263,0.9879423122389471
sub-071,58,0.9175512628773169,0.9727888042998591,0.1107867996658984,0.43564356435643564,0.9869484151646986
sub-093,57,0.91877610764477,0.9655582957734501,0.10628621641519312,0.495114006514658,0.9867385601865345
sub-092,52,0.9194547774086519,0.9598094605073668,0.10720588306559432,0.44523639819434546,0.9839513867248364
sub-117,57,0.919457097106507,0.9563463477885031,0.11115726524817991,0.3553335711737424,0.9844625753813409
sub-057,56,0.9233600012679195,0.9651207452277875,0.07720470701192243,0.7325227963525835,0.9850526470804801
sub-054,58,0.9241596160220112,0.9662543012363527,0.09402064986865749,0.525,0.9840779100324625
sub-063,55,0.9244767488450915,0.9621218687700442,0.09703474991748318,0.6244343891402715,0.9836307329302463
sub-085,51,0.9251805277549748,0.9646833296468333,0.08901321687534568,0.5657397871610024,0.9806223479490807
sub-067,57,0.9258339015977058,0.9611780455153949,0.09245657430247935,0.5675105485232067,0.9871718377088305
sub-068,56,0.926323667050107,0.962701105934714,0.09764432661055322,0.49596309111880044,0.9839270199826238
sub-080,56,0.9283377366226706,0.9578668397476314,0.08746264420522316,0.5555555555555556,0.9846244390495108
sub-105,64,0.9295263562680912,0.9726150347491851,0.12192957696036964,0.13333333333333333,0.9895241903238704
