method,slices,mean_dice,median_dice,std_dice,mean_iou,mean_precision,mean_recall,mean_dice_change_vs_single
Single oracle box,55,0.8716395876325658,0.9522668264429798,0.2209514632506327,0.8179543288915767,0.8761469997900472,0.8973310092650421,0.0
Raw multi-box,55,0.9171725197291589,0.9547163057096832,0.11304528640866504,0.8616051255139374,0.9196277490960849,0.9364874983176753,0.04553293209659315
Coarse mask only,55,0.0,0.0,0.0,0.0,1.0,0.0,-0.8716395876325658
Multi-box + coarse mask,55,0.9250744875657467,0.9615430693662393,0.11626698447197063,0.8759277517164098,0.9172815716570528,0.9555164604928489,0.05343489993318096
