subject_id,slice_index,component_count,retained_component_boxes,gt_area,coarse_size,perturbation,perturbation_radius,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,single_mask_area_pred,multi_dice,multi_iou,multi_precision,multi_recall,multi_hausdorff_px,multi_mask_area_pred,mask_only_dice,mask_only_iou,mask_only_precision,mask_only_recall,mask_only_hausdorff_px,mask_only_mask_area_pred,box_mask_dice,box_mask_iou,box_mask_precision,box_mask_recall,box_mask_hausdorff_px,box_mask_mask_area_pred,multi_over_single_dice,mask_only_over_single_dice,box_mask_over_multi_dice,best_mask_over_best_box_dice
sub-086,4,1,1,17,32,none,1,0.24113475177304963,0.13709677419354838,0.13709677419354838,1.0,6.0,124,0.24113475177304963,0.13709677419354838,0.13709677419354838,1.0,6.0,124,0.0,0.0,1.0,0.0,nan,0,0.2125,0.11888111888111888,0.11888111888111888,1.0,6.708203932499369,143,0.0,-0.24113475177304963,-0.028634751773049638,-0.028634751773049638
sub-086,5,2,2,569,32,none,1,0.7511929107021131,0.601528384279476,0.6135857461024499,0.968365553602812,7.810249675906654,898,0.7508350033400134,0.6010695187165775,0.6056034482758621,0.9876977152899824,6.708203932499369,928,0.0,0.0,1.0,0.0,nan,0,0.8300220750551877,0.7094339622641509,0.7139240506329114,0.9912126537785588,6.4031242374328485,790,-0.00035790736209972973,-0.7511929107021131,0.07918707171517425,0.07882916435307452
sub-086,6,2,2,1260,32,none,1,0.7126436781609196,0.5535714285714286,0.5585585585585585,0.9841269841269841,15.0,2220,0.8746458923512748,0.777218376337319,0.7896419437340153,0.9801587301587301,6.708203932499369,1564,0.0,0.0,1.0,0.0,nan,0,0.8916607270135424,0.8045016077170418,0.8091849935316947,0.9928571428571429,4.47213595499958,1546,0.1620022141903552,-0.7126436781609196,0.01701483466226761,0.01701483466226761
sub-086,7,1,1,1979,32,none,1,0.8660477453580901,0.7637426900584795,0.7697445972495088,0.9898938858009095,11.180339887498949,2545,0.8660477453580901,0.7637426900584795,0.7697445972495088,0.9898938858009095,11.180339887498949,2545,0.0,0.0,1.0,0.0,nan,0,0.8575770733825445,0.7506651463321931,0.7518081461743433,0.9979787771601819,8.54400374531753,2627,0.0,-0.8660477453580901,-0.00847067197554563,-0.00847067197554563
sub-086,8,1,1,2526,32,none,1,0.9522668264429798,0.9088829584445292,0.9609028617492946,0.943784639746635,4.47213595499958,2481,0.9522668264429798,0.9088829584445292,0.9609028617492946,0.943784639746635,4.47213595499958,2481,0.0,0.0,1.0,0.0,nan,0,0.9527606139126968,0.9097830224590788,0.9594540345242875,0.946159936658749,4.123105625617661,2491,0.0,-0.9522668264429798,0.0004937874697170663,0.0004937874697170663
sub-086,9,1,1,3001,32,none,1,0.9407848633496847,0.8881905391994708,0.9918729220539343,0.894701766077974,7.0710678118654755,2707,0.9407848633496847,0.8881905391994708,0.9918729220539343,0.894701766077974,7.0710678118654755,2707,0.0,0.0,1.0,0.0,nan,0,0.9534646739130435,0.911067835118468,0.9722895739521995,0.9353548817060979,4.123105625617661,2887,0.0,-0.9407848633496847,0.012679810563358762,0.012679810563358762
sub-086,10,1,1,3441,32,none,1,0.9439195367266078,0.8937950937950938,0.9923101570009613,0.9000290613193839,5.0,3121,0.9439195367266078,0.8937950937950938,0.9923101570009613,0.9000290613193839,5.0,3121,0.0,0.0,1.0,0.0,nan,0,0.9569650622282201,0.9174813110983324,0.9885377942998761,0.9273467015402499,4.242640687119285,3228,0.0,-0.9439195367266078,0.01304552550161231,0.01304552550161231
sub-086,11,1,1,3904,32,none,1,0.9464887451138968,0.8984135107471852,0.9988620199146515,0.8993340163934426,7.0710678118654755,3515,0.9464887451138968,0.8984135107471852,0.9988620199146515,0.8993340163934426,7.0710678118654755,3515,0.0,0.0,1.0,0.0,nan,0,0.9615282568320509,0.9259070005109862,0.9972482113373693,0.9282786885245902,5.0990195135927845,3634,0.0,-0.9464887451138968,0.015039511718154097,0.015039511718154097
sub-086,12,1,1,4330,32,none,1,0.9550006032090723,0.9138767028399908,0.9997474109623642,0.9140877598152425,4.0,3959,0.9550006032090723,0.9138767028399908,0.9997474109623642,0.9140877598152425,4.0,3959,0.0,0.0,1.0,0.0,nan,0,0.9615430693662393,0.9259344716197508,0.9990042320139407,0.9267898383371824,3.1622776601683795,4017,0.0,-0.9550006032090723,0.006542466157167026,0.006542466157167026
sub-086,13,1,1,4682,32,none,1,0.9679268158271795,0.9378470739000427,1.0,0.9378470739000427,3.0,4391,0.9679268158271795,0.9378470739000427,1.0,0.9378470739000427,3.0,4391,0.0,0.0,1.0,0.0,nan,0,0.9713658804168952,0.9443259385665529,0.998646514775547,0.9455360956856045,3.0,4433,0.0,-0.9679268158271795,0.003439064589715657,0.003439064589715657
