components,number_of_slices,mean_single_dice,mean_multibox_dice,mean_dice_improvement
1 component,41,0.9304496403856946,0.9304496403856946,0.0
2 components,8,0.6643554103145842,0.8869050289307006,0.22254961861611633
3+ components,6,0.7461497969101623,0.8668021829741078,0.12065238606394556
